ID,Topic,Question,Option A,Option B,Option C,Option D,Correct Letter,Correct Index,Active,Notes
1,Number,What is a prime number?,A number with exactly two factors,A number with one factor,A number divisible by 10,A number greater than 10,A,0,Yes,Core
2,Number,Which number is prime?,4,6,7,9,C,2,Yes,Core
3,Number,Which number is NOT prime?,2,3,5,1,D,3,Yes,Core
4,Number,What is the only even prime number?,1,2,4,6,B,1,Yes,Core
5,Number,What is a factor?,A number that divides exactly,A number added,A number multiplied,A number squared,A,0,Yes,Core
6,Number,What is a multiple?,Result of division,Result of multiplication,Result of subtraction,Result of addition,B,1,Yes,Core
7,Number,What is 5<sup>2</sup>?,10,20,25,15,C,2,Yes,Core
8,Number,What is 3<sup>3</sup>?,9,27,6,12,B,1,Yes,Core
9,Number,What is a square number?,n<sup>2</sup>,n × n,n + n,n ÷ n,B,1,Yes,Core
10,Number,What is a cube number?,n × n,n × n × n,n<sup>2</sup> × n,n + n + n,B,1,Yes,Core
11,Number,What is any number to the power of 0?,0,1,The number itself,Undefined,B,1,Yes,Core
12,Number,What is 4<sup>2</sup>?,8,12,16,20,C,2,Yes,
13,Number,What is 6<sup>2</sup>?,12,18,36,30,C,2,Yes,
14,Number,What is 2<sup>4</sup>?,8,12,16,32,C,2,Yes,
15,Number,What is 10<sup>2</sup>?,20,50,100,200,C,2,Yes,
16,Algebra,What is x<sup>2</sup> × x<sup>3</sup>?,x<sup>5</sup>,x<sup>6</sup>,x<sup>9</sup>,x<sup>1</sup>,A,0,Yes,
17,Algebra,What is x<sup>4</sup> × x<sup>2</sup>?,x<sup>6</sup>,x<sup>8</sup>,x<sup>2</sup>,x<sup>4</sup>,A,0,Yes,
18,Algebra,What is x<sup>5</sup> ÷ x<sup>2</sup>?,x<sup>3</sup>,x<sup>7</sup>,x<sup>2</sup>,x<sup>10</sup>,A,0,Yes,
19,Algebra,What is x<sup>6</sup> ÷ x<sup>3</sup>?,x<sup>2</sup>,x<sup>3</sup>,x<sup>9</sup>,x<sup>18</sup>,B,1,Yes,
20,Algebra,What is (x<sup>2</sup>)<sup>3</sup>?,x<sup>5</sup>,x<sup>6</sup>,x<sup>8</sup>,x<sup>9</sup>,B,1,Yes,
21,Algebra,What is (x<sup>3</sup>)<sup>2</sup>?,x<sup>5</sup>,x<sup>6</sup>,x<sup>9</sup>,x<sup>1</sup>,B,1,Yes,
22,Algebra,What is x<sup>0</sup>?,0,1,x,Undefined,B,1,Yes,
23,Algebra,What is 5x<sup>2</sup> + 3x<sup>2</sup>?,8x<sup>2</sup>,15x<sup>2</sup>,8x<sup>4</sup>,15x<sup>4</sup>,A,0,Yes,
24,Number,What is 7<sup>2</sup>?,14,21,49,28,C,2,Yes,
25,Number,What is 8<sup>2</sup>?,16,32,64,56,C,2,Yes,
26,Number,What is 9<sup>2</sup>?,18,27,81,72,C,2,Yes,
27,Number,What is 2<sup>3</sup>?,4,6,8,10,C,2,Yes,
28,Number,What is 3<sup>2</sup>?,6,9,12,3,B,1,Yes,
29,Number,What is 10<sup>2</sup>?,20,50,100,10,C,2,Yes,
30,Algebra,What is x<sup>1</sup>?,1,x,x<sup>2</sup>,0,B,1,Yes,
31,Algebra,What is x × x?,x,x<sup>2</sup>,2x,x<sup>3</sup>,B,1,Yes,
32,Algebra,What is x<sup>2</sup> × x?,x<sup>2</sup>,x<sup>3</sup>,x<sup>4</sup>,2x,B,1,Yes,
33,Algebra,What is x<sup>3</sup> ÷ x?,x<sup>2</sup>,x<sup>3</sup>,x<sup>1</sup>,x<sup>4</sup>,A,0,Yes,
34,Algebra,What is 2x<sup>2</sup> + 4x<sup>2</sup>?,6x<sup>2</sup>,8x<sup>2</sup>,6x<sup>4</sup>,8x<sup>4</sup>,A,0,Yes,
35,Algebra,What is 3x + 2x?,5x,6x,x<sup>2</sup>,5,A,0,Yes,
